ai_model_name,query_category,ai_confidence_percentage,response_character_count,has_cited_sources,contains_hedging_words,includes_disclaimer,answer_detail_level,respondent_age_bracket,education_level,digital_literacy_score,ai_familiarity_level,decision_importance,urgency_level,belief_alignment_status,subject_matter_expertise,trust_score_out_of_10,performed_fact_check,fact_check_method_used,verification_duration_mins,answer_accuracy_percentage,trust_calibration_valid,user_skepticism_category,is_accurate,verification_bin
Mistral,scientific_facts,70.45,797,True,False,True,Moderate,55-64,High School,Low,Beginner,High,Low,True,True,10.0,True,Personal Testing,16.6,83.19,True,Moderate Trust,True,15-30m
Gemini,math_calculation,86.5,263,True,True,False,Vague,55-64,High School,Expert,First Time,High,High,True,True,10.0,True,Asked Colleague,21.8,77.24,False,Moderate Trust,True,15-30m
Gemini,financial_advice,44.51,536,True,True,False,Specific,35-44,Masters,High,First Time,Medium,Medium,True,False,7.2,True,Asked Expert,9.8,45.19,False,Skeptical,False,5-15m
ChatGPT-3.5,recipe_cooking,79.67,326,False,False,False,Very Specific,45-54,Bachelors,Medium,Advanced,Low,High,False,False,8.4,True,Google Search,16.1,64.96,True,Moderate Trust,False,15-30m
Llama,legal_advice,47.3,797,True,True,True,Specific,65+,Masters,Medium,Expert,Critical,Low,False,True,2.8,True,Checked Official Source,23.0,41.65,True,Highly Skeptical,False,15-30m
Claude,legal_advice,50.96,366,True,True,True,Specific,35-44,Masters,Low,Beginner,Critical,Low,True,True,7.9,True,Consulted Documentation,27.7,59.56,True,Skeptical,False,15-30m
Claude,creative_writing,61.4,799,False,False,False,Specific,18-24,PhD,Low,Expert,Medium,Low,Neutral,True,6.5,True,Cross-referenced Multiple AIs,39.3,67.11,True,Skeptical,False,30-45m
GPT-4,current_events,72.95,183,False,False,False,Specific,45-54,Bachelors,High,Beginner,High,Low,True,True,8.9,True,Google Search,42.7,48.76,False,Moderate Trust,False,30-45m
Claude,opinion_based,48.1,368,True,True,True,Specific,35-44,Masters,High,Expert,Low,High,False,False,5.2,False,,0.0,39.85,True,Skeptical,False,
GPT-4,legal_advice,63.12,668,True,False,False,Specific,45-54,Bachelors,Low,Intermediate,Critical,Low,True,False,8.2,True,Asked Colleague,38.5,57.93,False,Moderate Trust,False,30-45m
Llama,math_calculation,86.22,428,True,False,False,Specific,65+,Masters,High,Expert,High,Medium,Neutral,False,9.4,False,,0.0,78.88,True,Blind Trust,True,
Mistral,opinion_based,42.98,508,True,False,True,Specific,25-34,Bachelors,Low,First Time,Medium,Low,Neutral,True,7.4,True,Cross-referenced Multiple AIs,20.3,30.59,False,Skeptical,False,15-30m
Gemini,opinion_based,56.67,650,True,True,False,Very Specific,18-24,Professional,High,Intermediate,Critical,Low,False,True,4.6,True,Cross-referenced Multiple AIs,10.2,33.65,True,Highly Skeptical,False,5-15m
GPT-4,math_calculation,91.07,193,True,False,False,Very Specific,65+,PhD,Expert,Advanced,Medium,Low,False,False,9.7,False,,0.0,100.0,True,Blind Trust,True,
Llama,recipe_cooking,89.41,418,True,True,True,Very Specific,45-54,Professional,High,Beginner,High,High,False,False,9.0,False,,0.0,79.94,True,Blind Trust,True,
Llama,medical_advice,65.77,351,True,False,True,Specific,18-24,Professional,Medium,Expert,Medium,Medium,True,False,9.3,False,,0.0,65.06,False,Blind Trust,False,
Claude,financial_advice,62.99,431,False,False,True,Vague,45-54,Professional,Low,Advanced,Medium,Low,Neutral,True,7.3,True,Asked Expert,38.4,63.77,True,Skeptical,False,30-45m
Gemini,legal_advice,48.25,416,False,True,False,Very Specific,18-24,High School,Expert,Expert,Low,High,False,False,3.6,True,Google Search,9.5,52.65,True,Highly Skeptical,False,5-15m
Gemini,technical_coding,82.85,153,False,False,False,Vague,18-24,Masters,Low,Intermediate,High,High,False,False,7.5,True,Asked Expert,6.1,85.39,True,Skeptical,True,5-15m
Claude,legal_advice,46.3,396,False,True,True,Very Specific,45-54,Professional,Medium,First Time,Medium,Low,Neutral,True,5.9,True,Google Search,38.0,53.91,True,Skeptical,False,30-45m
Mistral,current_events,70.12,562,False,True,False,Very Specific,25-34,Masters,Medium,Beginner,Critical,Low,True,True,8.0,False,,0.0,52.75,False,Blind Trust,False,
Claude,general_knowledge,71.29,229,True,True,True,Very Specific,35-44,Professional,Medium,Expert,Medium,Low,Neutral,False,8.5,True,Asked Expert,44.5,64.87,False,Moderate Trust,False,30-45m
Claude,general_knowledge,67.83,712,True,True,False,Vague,25-34,High School,High,First Time,High,High,Neutral,True,7.8,False,,0.0,53.64,False,Moderate Trust,False,
GPT-4,medical_advice,66.81,311,False,True,False,Specific,45-54,Masters,Low,Expert,Medium,Low,True,False,7.9,True,Consulted Documentation,22.7,81.52,True,Skeptical,True,15-30m
Mistral,technical_coding,83.08,629,False,False,True,Moderate,35-44,Professional,Expert,First Time,Low,Low,Neutral,False,9.7,False,,0.0,87.75,True,Blind Trust,True,
GPT-4,medical_advice,51.58,619,True,False,False,Specific,45-54,High School,Medium,Expert,Medium,High,Neutral,False,6.5,True,Academic Paper,25.0,60.41,True,Skeptical,False,15-30m
Mistral,current_events,77.58,254,True,False,True,Moderate,55-64,Masters,Low,Beginner,Medium,High,False,False,9.8,False,,0.0,81.22,True,Blind Trust,True,
Mistral,opinion_based,52.36,679,False,True,True,Moderate,55-64,PhD,Expert,Expert,High,High,True,False,5.5,True,Asked Colleague,6.7,44.02,True,Skeptical,False,5-15m
Mistral,math_calculation,86.7,696,False,True,False,Moderate,35-44,PhD,Expert,First Time,Medium,Low,Neutral,True,9.1,True,Checked Official Source,7.8,81.41,True,Moderate Trust,True,5-15m
GPT-4,scientific_facts,82.44,232,True,False,True,Moderate,65+,Professional,High,Intermediate,High,Medium,Neutral,True,9.0,True,Academic Paper,30.3,67.57,False,Moderate Trust,False,30-45m
GPT-4,scientific_facts,83.48,131,True,False,True,Moderate,25-34,Professional,Expert,Beginner,Critical,High,False,True,8.4,True,Asked Colleague,35.9,72.27,True,Moderate Trust,True,30-45m
Claude,legal_advice,69.2,763,False,True,True,Very Specific,45-54,Professional,Medium,Intermediate,High,High,Neutral,False,6.9,True,Google Search,26.9,68.25,True,Skeptical,False,15-30m
Mistral,scientific_facts,88.39,714,False,False,False,Moderate,65+,PhD,Medium,Intermediate,Medium,High,Neutral,False,9.7,True,Google Search,27.3,85.52,True,Moderate Trust,True,15-30m
Gemini,recipe_cooking,83.96,469,True,True,False,Specific,45-54,High School,Low,First Time,Medium,Low,False,False,9.6,True,Google Search,4.3,95.05,True,Moderate Trust,True,0-5m
Gemini,legal_advice,62.89,324,True,True,True,Vague,65+,Masters,Low,Intermediate,Medium,Medium,True,True,9.0,True,Consulted Documentation,9.8,53.07,False,Moderate Trust,False,5-15m
Llama,financial_advice,63.53,593,True,False,True,Vague,65+,Professional,High,Expert,Critical,High,False,True,5.7,True,Cross-referenced Multiple AIs,34.0,73.09,True,Skeptical,True,30-45m
GPT-4,legal_advice,69.95,493,False,False,True,Very Specific,65+,Professional,Low,First Time,Low,High,Neutral,False,9.0,False,,0.0,75.48,True,Blind Trust,True,
Mistral,recipe_cooking,86.33,450,False,False,True,Very Specific,35-44,Bachelors,Expert,First Time,Low,High,Neutral,False,10.0,False,,0.0,80.76,True,Blind Trust,True,
Gemini,opinion_based,47.94,489,False,False,True,Moderate,45-54,PhD,Low,Beginner,Critical,Low,True,True,6.5,True,Academic Paper,3.5,49.56,True,Skeptical,False,0-5m
GPT-4,math_calculation,97.09,412,True,False,True,Moderate,35-44,PhD,High,Advanced,Low,Low,True,True,10.0,True,Asked Colleague,5.5,86.07,True,Moderate Trust,True,5-15m
Llama,recipe_cooking,86.57,468,False,True,False,Specific,35-44,High School,Expert,Intermediate,Critical,Low,True,True,8.3,True,Consulted Documentation,14.7,88.68,True,Moderate Trust,True,5-15m
Mistral,current_events,78.19,713,False,False,True,Specific,35-44,High School,Low,Beginner,Low,Medium,Neutral,False,9.9,False,,0.0,66.53,False,Blind Trust,False,
Claude,financial_advice,58.61,283,False,False,False,Specific,18-24,High School,Low,First Time,Medium,Low,Neutral,True,7.6,False,,0.0,47.19,False,Moderate Trust,False,
Claude,financial_advice,60.88,403,False,True,False,Specific,25-34,High School,High,Expert,Low,Medium,Neutral,True,6.3,False,,0.0,68.34,True,Moderate Trust,False,
Gemini,technical_coding,76.29,549,True,True,True,Very Specific,25-34,Bachelors,High,Advanced,Critical,Low,True,True,8.5,True,Cross-referenced Multiple AIs,18.4,71.62,True,Moderate Trust,True,15-30m
GPT-4,factual_historical,80.32,51,True,False,False,Moderate,55-64,High School,Low,Intermediate,Low,High,False,True,9.1,False,,0.0,78.54,True,Blind Trust,True,
GPT-4,current_events,60.97,622,True,True,True,Very Specific,45-54,High School,Medium,Expert,Medium,Medium,Neutral,False,7.6,False,,0.0,46.25,False,Moderate Trust,False,
Claude,opinion_based,43.83,681,True,False,True,Very Specific,55-64,PhD,Expert,Beginner,Low,Low,True,False,8.4,True,Personal Testing,11.9,24.79,False,Moderate Trust,False,5-15m
GPT-4,scientific_facts,77.89,83,False,False,False,Vague,55-64,Professional,Low,Intermediate,Medium,Low,Neutral,False,8.3,True,Academic Paper,2.8,70.24,True,Moderate Trust,True,0-5m
Claude,general_knowledge,81.69,555,False,True,True,Specific,45-54,Bachelors,Expert,Beginner,Critical,Medium,True,False,9.1,False,,0.0,74.68,True,Blind Trust,True,
Llama,medical_advice,57.69,701,True,False,True,Specific,65+,Masters,Low,Beginner,Medium,Low,False,False,7.2,True,Checked Official Source,13.3,60.87,True,Skeptical,False,5-15m
Gemini,recipe_cooking,86.33,184,False,True,True,Moderate,18-24,PhD,Expert,First Time,Low,Low,Neutral,True,9.7,True,Consulted Documentation,15.4,88.66,True,Moderate Trust,True,15-30m
Llama,legal_advice,46.63,342,True,False,True,Vague,65+,High School,Medium,First Time,Medium,Low,False,True,6.5,False,,0.0,59.79,True,Moderate Trust,False,
Claude,recipe_cooking,86.04,64,True,True,False,Very Specific,65+,Masters,Medium,Beginner,Low,Medium,False,True,9.8,False,,0.0,82.22,True,Blind Trust,True,
Gemini,general_knowledge,77.56,757,True,True,False,Very Specific,45-54,Masters,Medium,Advanced,Medium,Low,Neutral,False,8.6,False,,0.0,79.69,True,Blind Trust,True,
Claude,technical_coding,77.08,635,False,False,False,Moderate,25-34,Masters,High,Advanced,High,Low,True,False,8.7,True,Google Search,10.8,79.06,True,Moderate Trust,True,5-15m
ChatGPT-3.5,general_knowledge,72.48,157,True,True,True,Very Specific,55-64,Bachelors,High,Beginner,Medium,Medium,Neutral,True,8.3,True,Asked Expert,19.2,57.85,False,Moderate Trust,False,15-30m
GPT-4,opinion_based,56.67,60,True,False,True,Moderate,45-54,PhD,Low,Beginner,Critical,Medium,True,True,8.6,False,,0.0,48.49,False,Blind Trust,False,
Gemini,legal_advice,51.72,651,False,True,True,Moderate,45-54,PhD,Medium,Beginner,High,Medium,True,False,7.8,True,Academic Paper,31.1,52.21,False,Skeptical,False,30-45m
GPT-4,technical_coding,83.99,389,True,True,False,Moderate,55-64,Masters,Expert,Advanced,High,High,True,True,10.0,False,,0.0,77.93,False,Blind Trust,True,
GPT-4,scientific_facts,73.69,594,False,True,True,Moderate,45-54,High School,Medium,Beginner,High,High,Neutral,True,7.6,True,Google Search,3.6,66.32,True,Skeptical,False,0-5m
Llama,factual_historical,80.92,52,False,False,True,Vague,35-44,High School,Low,Beginner,High,Medium,True,False,10.0,True,Consulted Documentation,37.1,72.39,False,Moderate Trust,True,30-45m
Llama,opinion_based,53.48,146,False,True,True,Vague,55-64,Bachelors,Expert,Beginner,Medium,Medium,Neutral,False,5.7,False,,0.0,41.21,True,Skeptical,False,
Gemini,technical_coding,87.47,254,False,False,False,Vague,45-54,Masters,Medium,First Time,Low,Low,Neutral,True,10.0,True,Academic Paper,19.9,72.61,False,Moderate Trust,True,15-30m
Mistral,medical_advice,68.28,643,True,False,False,Very Specific,18-24,Bachelors,Expert,Expert,Medium,Low,Neutral,True,7.8,False,,0.0,60.05,True,Moderate Trust,False,
Llama,opinion_based,53.41,612,True,False,False,Specific,35-44,High School,Low,First Time,High,Low,False,False,6.7,True,Academic Paper,13.0,43.26,False,Skeptical,False,5-15m
Llama,general_knowledge,66.01,463,False,True,False,Specific,18-24,High School,Low,First Time,Critical,Medium,True,False,7.8,True,Asked Colleague,10.6,67.92,True,Skeptical,False,5-15m
Gemini,technical_coding,88.23,226,True,True,True,Specific,45-54,Bachelors,High,Intermediate,Medium,Low,True,True,10.0,True,Asked Colleague,36.8,83.15,True,Moderate Trust,True,30-45m
Mistral,current_events,70.31,694,True,True,True,Very Specific,25-34,Professional,High,Beginner,Medium,Low,Neutral,False,8.2,True,Checked Official Source,9.4,52.55,False,Moderate Trust,False,5-15m
Claude,scientific_facts,89.96,235,True,True,False,Specific,65+,Masters,Low,Beginner,High,Medium,False,True,9.8,False,,0.0,99.0,True,Blind Trust,True,
ChatGPT-3.5,opinion_based,41.66,782,False,False,False,Vague,45-54,Professional,High,Intermediate,High,Low,False,False,2.3,True,Academic Paper,34.3,24.18,True,Highly Skeptical,False,30-45m
Llama,general_knowledge,69.98,702,False,True,False,Moderate,25-34,Masters,Medium,Intermediate,Medium,Low,True,False,7.8,True,Google Search,42.3,64.46,True,Skeptical,False,30-45m
ChatGPT-3.5,factual_historical,76.51,741,False,False,False,Moderate,35-44,Professional,Low,First Time,Medium,High,False,False,8.0,False,,0.0,66.06,True,Blind Trust,False,
Gemini,opinion_based,43.13,531,False,False,False,Specific,45-54,Bachelors,Low,Beginner,Low,High,True,False,7.4,False,,0.0,37.73,False,Moderate Trust,False,
GPT-4,legal_advice,53.74,466,True,True,False,Vague,25-34,High School,High,Intermediate,Critical,Low,False,False,3.3,True,Checked Official Source,20.7,66.94,False,Highly Skeptical,False,15-30m
Llama,scientific_facts,80.58,247,True,True,True,Vague,35-44,High School,Expert,Beginner,High,Low,False,True,7.4,False,,0.0,91.96,True,Moderate Trust,True,
Llama,math_calculation,95.53,675,False,False,False,Vague,35-44,Bachelors,Medium,Beginner,High,Low,True,False,10.0,True,Personal Testing,23.7,100.0,True,Moderate Trust,True,15-30m
GPT-4,scientific_facts,86.05,65,True,False,True,Very Specific,25-34,PhD,Medium,First Time,High,Low,Neutral,False,10.0,True,Consulted Documentation,21.0,79.67,False,Moderate Trust,True,15-30m
Gemini,recipe_cooking,76.41,388,False,False,True,Very Specific,65+,Bachelors,High,Advanced,Low,Medium,False,False,7.5,False,,0.0,73.72,True,Moderate Trust,True,
GPT-4,opinion_based,40.88,152,True,False,True,Moderate,45-54,High School,Low,Beginner,Critical,Low,False,True,4.6,True,Cross-referenced Multiple AIs,20.0,41.63,True,Highly Skeptical,False,15-30m
Mistral,medical_advice,72.09,134,False,True,True,Moderate,65+,Masters,Low,First Time,Critical,Low,Neutral,False,7.5,True,Asked Colleague,13.1,87.02,True,Skeptical,True,5-15m
Llama,recipe_cooking,88.27,657,False,False,False,Specific,35-44,Professional,Low,Advanced,Low,Low,True,False,10.0,False,,0.0,100.0,True,Blind Trust,True,
Llama,current_events,71.38,124,True,True,True,Vague,35-44,Masters,Expert,Beginner,Medium,Low,Neutral,False,8.8,False,,0.0,57.78,False,Blind Trust,False,
GPT-4,factual_historical,71.0,786,False,True,True,Vague,65+,Professional,High,First Time,Critical,High,False,True,5.3,True,Checked Official Source,10.1,57.89,True,Skeptical,False,5-15m
ChatGPT-3.5,general_knowledge,81.66,141,False,True,True,Specific,18-24,Bachelors,Expert,Expert,Critical,Low,Neutral,False,6.4,True,Cross-referenced Multiple AIs,38.8,71.92,True,Skeptical,True,30-45m
Gemini,opinion_based,51.47,550,True,False,True,Vague,65+,Professional,High,Intermediate,Critical,High,False,False,4.7,True,Checked Official Source,44.4,55.61,True,Highly Skeptical,False,30-45m
Mistral,opinion_based,55.98,550,False,False,False,Specific,65+,High School,Expert,Advanced,Low,High,Neutral,True,6.1,False,,0.0,49.1,True,Moderate Trust,False,
Mistral,math_calculation,94.49,734,True,True,True,Specific,65+,Professional,High,Beginner,High,Low,True,False,10.0,True,Consulted Documentation,28.5,95.5,True,Moderate Trust,True,15-30m
Mistral,general_knowledge,83.62,243,True,False,False,Very Specific,65+,Professional,High,Beginner,Medium,Low,True,True,10.0,False,,0.0,69.93,False,Blind Trust,False,
Mistral,current_events,68.92,459,False,True,False,Specific,25-34,Bachelors,High,Intermediate,High,Medium,Neutral,False,5.7,False,,0.0,65.51,True,Skeptical,False,
ChatGPT-3.5,financial_advice,57.34,64,True,False,False,Vague,25-34,PhD,Medium,Advanced,Medium,High,Neutral,True,7.1,True,Cross-referenced Multiple AIs,6.9,44.07,False,Skeptical,False,5-15m
ChatGPT-3.5,financial_advice,49.64,604,True,False,True,Specific,45-54,Masters,Expert,First Time,Medium,Low,False,True,6.7,True,Asked Expert,6.7,48.63,True,Skeptical,False,5-15m
ChatGPT-3.5,creative_writing,62.35,761,True,False,False,Vague,55-64,Bachelors,Medium,First Time,Critical,High,True,True,10.0,True,Consulted Documentation,30.8,57.35,False,Moderate Trust,False,30-45m
ChatGPT-3.5,opinion_based,58.34,427,True,False,False,Vague,65+,Masters,High,Expert,Medium,High,True,False,8.4,False,,0.0,35.7,False,Blind Trust,False,
Mistral,math_calculation,97.61,102,False,False,False,Vague,45-54,Bachelors,High,Beginner,Low,Medium,False,False,9.5,True,Google Search,19.8,100.0,True,Moderate Trust,True,15-30m
Llama,factual_historical,81.85,419,True,False,True,Vague,35-44,Bachelors,Expert,First Time,Critical,High,True,True,10.0,False,,0.0,70.78,False,Blind Trust,True,
Llama,recipe_cooking,76.85,518,True,False,True,Specific,55-64,Masters,Expert,Advanced,High,Low,False,False,6.7,False,,0.0,66.4,True,Moderate Trust,False,
Mistral,legal_advice,62.3,743,True,True,False,Moderate,25-34,Bachelors,Medium,Intermediate,Low,Low,False,True,8.1,False,,0.0,54.64,False,Blind Trust,False,
Llama,opinion_based,52.89,587,True,True,True,Specific,35-44,Bachelors,High,Advanced,Low,Low,False,True,4.7,True,Personal Testing,24.7,28.14,True,Highly Skeptical,False,15-30m
ChatGPT-3.5,current_events,61.15,251,False,True,False,Specific,18-24,Professional,High,Intermediate,Low,Low,False,True,5.8,True,Consulted Documentation,23.5,60.87,True,Skeptical,False,15-30m
Gemini,medical_advice,51.53,137,False,True,True,Specific,65+,Bachelors,Expert,Beginner,Low,Low,False,False,5.2,False,,0.0,61.69,True,Skeptical,False,
Llama,general_knowledge,68.59,770,True,True,False,Moderate,25-34,High School,Medium,Beginner,Medium,Low,True,True,10.0,True,Asked Expert,17.4,61.25,False,Moderate Trust,False,15-30m
Llama,legal_advice,60.64,225,True,True,True,Very Specific,65+,High School,Expert,Beginner,Medium,Low,True,True,9.3,True,Asked Expert,17.2,56.16,False,Moderate Trust,False,15-30m
Mistral,legal_advice,52.01,199,False,False,False,Specific,55-64,Professional,High,Beginner,Critical,Low,Neutral,True,5.1,True,Consulted Documentation,19.2,53.75,True,Skeptical,False,15-30m
ChatGPT-3.5,math_calculation,87.14,361,False,False,True,Specific,45-54,PhD,High,Beginner,High,Medium,True,True,10.0,True,Cross-referenced Multiple AIs,11.0,82.56,True,Moderate Trust,True,5-15m
Claude,legal_advice,53.81,93,True,True,False,Vague,35-44,PhD,Medium,Beginner,High,Low,False,True,6.3,True,Asked Expert,26.9,50.1,True,Skeptical,False,15-30m
Mistral,medical_advice,50.93,236,True,False,False,Very Specific,18-24,Masters,High,Advanced,Medium,Low,True,True,7.3,True,Academic Paper,36.9,47.97,False,Skeptical,False,30-45m
Gemini,factual_historical,72.27,786,False,True,False,Very Specific,18-24,Professional,Low,Expert,Low,Low,Neutral,False,8.0,True,Personal Testing,12.9,80.32,True,Moderate Trust,True,5-15m
Llama,general_knowledge,66.15,329,True,False,False,Very Specific,45-54,High School,Low,Expert,Critical,Medium,Neutral,True,7.7,True,Personal Testing,43.8,52.29,False,Skeptical,False,30-45m
Mistral,financial_advice,64.88,691,True,True,True,Specific,55-64,Professional,Expert,Expert,Critical,Medium,False,True,5.2,True,Asked Expert,8.7,58.25,True,Skeptical,False,5-15m
GPT-4,current_events,68.86,197,False,False,True,Very Specific,55-64,Masters,High,Intermediate,Low,High,False,False,6.5,False,,0.0,70.97,True,Moderate Trust,True,
Claude,recipe_cooking,84.52,583,False,True,True,Specific,55-64,Professional,Medium,Beginner,Low,Low,True,False,10.0,False,,0.0,96.1,True,Blind Trust,True,
ChatGPT-3.5,technical_coding,76.75,398,False,False,False,Moderate,55-64,PhD,Low,Beginner,Critical,Low,Neutral,True,8.5,True,Asked Expert,25.7,87.68,True,Moderate Trust,True,15-30m
GPT-4,legal_advice,60.64,406,False,True,False,Moderate,45-54,Masters,High,Beginner,Low,High,False,False,6.0,False,,0.0,59.28,True,Moderate Trust,False,
Llama,recipe_cooking,87.38,746,True,False,True,Moderate,55-64,Professional,Medium,Advanced,High,Low,False,True,8.5,False,,0.0,93.22,True,Blind Trust,True,
Llama,general_knowledge,83.34,62,False,False,True,Moderate,18-24,PhD,Medium,Beginner,Critical,Medium,True,True,10.0,False,,0.0,73.23,False,Blind Trust,True,
Claude,medical_advice,55.52,518,False,False,False,Very Specific,65+,PhD,Medium,Beginner,Critical,Low,Neutral,True,5.8,True,Google Search,30.1,42.64,True,Skeptical,False,30-45m
ChatGPT-3.5,technical_coding,92.5,586,False,True,True,Very Specific,18-24,High School,Low,First Time,High,Low,True,False,10.0,True,Personal Testing,18.2,97.46,True,Moderate Trust,True,15-30m
GPT-4,legal_advice,59.16,697,False,False,True,Very Specific,65+,Professional,Medium,Expert,Medium,Low,True,False,7.4,True,Checked Official Source,24.1,51.53,False,Skeptical,False,15-30m
GPT-4,math_calculation,85.28,756,True,False,True,Specific,65+,Professional,Low,Intermediate,High,Low,Neutral,False,10.0,True,Consulted Documentation,39.2,92.47,True,Moderate Trust,True,30-45m
GPT-4,factual_historical,71.32,245,True,False,False,Specific,25-34,Professional,Expert,Beginner,Medium,Medium,False,False,8.6,False,,0.0,75.89,True,Blind Trust,True,
Mistral,financial_advice,61.78,589,False,True,False,Very Specific,55-64,Masters,Expert,First Time,Medium,High,False,False,5.6,True,Cross-referenced Multiple AIs,3.9,65.15,True,Skeptical,False,0-5m
ChatGPT-3.5,scientific_facts,74.97,695,False,False,True,Specific,65+,Bachelors,Expert,Beginner,Critical,Low,True,True,9.0,True,Asked Expert,12.3,62.72,False,Moderate Trust,False,5-15m
Claude,medical_advice,71.22,461,False,True,True,Vague,65+,PhD,Medium,Intermediate,High,Low,Neutral,False,6.6,True,Asked Expert,32.6,78.3,True,Skeptical,True,30-45m
Claude,recipe_cooking,85.84,686,True,True,True,Specific,35-44,Professional,Expert,Beginner,Low,High,True,False,10.0,True,Academic Paper,10.3,74.57,False,Moderate Trust,True,5-15m
GPT-4,recipe_cooking,86.38,411,True,False,True,Moderate,35-44,Bachelors,Medium,Advanced,Medium,High,False,False,9.6,False,,0.0,73.02,False,Blind Trust,True,
GPT-4,creative_writing,77.27,754,False,False,True,Vague,45-54,Bachelors,High,Advanced,High,Low,Neutral,False,7.2,False,,0.0,75.69,True,Moderate Trust,True,
Claude,recipe_cooking,77.42,302,True,False,True,Moderate,65+,PhD,Medium,Beginner,High,Medium,True,False,10.0,True,Asked Colleague,18.8,90.25,True,Moderate Trust,True,15-30m
Llama,opinion_based,48.79,435,True,False,False,Vague,18-24,Bachelors,Low,Expert,Low,Medium,True,True,8.1,False,,0.0,41.67,False,Blind Trust,False,
Gemini,factual_historical,94.03,388,False,True,True,Specific,65+,Professional,Low,Advanced,Critical,Low,True,False,9.6,True,Asked Expert,35.5,84.51,True,Moderate Trust,True,30-45m
Llama,opinion_based,50.24,721,True,False,False,Moderate,55-64,Masters,Medium,Expert,Low,Medium,True,False,9.1,False,,0.0,27.7,False,Blind Trust,False,
ChatGPT-3.5,legal_advice,46.17,234,True,True,False,Specific,18-24,Professional,Medium,First Time,Medium,Low,Neutral,False,6.7,True,Checked Official Source,31.4,55.51,True,Skeptical,False,30-45m
Llama,creative_writing,70.03,773,False,True,True,Specific,55-64,Masters,High,First Time,Critical,High,False,False,5.9,True,Asked Colleague,17.0,71.74,True,Skeptical,True,15-30m
ChatGPT-3.5,general_knowledge,78.8,722,False,False,True,Specific,25-34,Bachelors,High,Beginner,Critical,High,False,True,6.5,False,,0.0,70.04,True,Moderate Trust,True,
ChatGPT-3.5,legal_advice,59.84,780,False,False,True,Very Specific,45-54,High School,High,Intermediate,Low,High,False,False,5.1,True,Personal Testing,4.6,47.53,True,Skeptical,False,0-5m
ChatGPT-3.5,scientific_facts,76.55,75,False,True,False,Moderate,25-34,Masters,Medium,Expert,Low,High,False,False,7.6,False,,0.0,75.15,True,Moderate Trust,True,
Gemini,creative_writing,62.98,199,False,True,False,Moderate,45-54,Professional,Expert,Beginner,High,Medium,False,False,5.2,True,Asked Colleague,17.2,63.65,True,Skeptical,False,15-30m
Gemini,technical_coding,79.29,443,True,True,False,Moderate,45-54,PhD,Medium,Intermediate,Medium,Medium,Neutral,False,9.5,False,,0.0,90.43,True,Blind Trust,True,
GPT-4,math_calculation,95.15,628,False,True,True,Very Specific,65+,High School,Low,Intermediate,Critical,High,True,False,9.6,False,,0.0,95.32,True,Blind Trust,True,
GPT-4,medical_advice,70.07,796,True,True,False,Vague,65+,Professional,Low,First Time,Low,Medium,True,False,10.0,False,,0.0,64.77,False,Blind Trust,False,
Gemini,math_calculation,89.45,372,True,False,True,Specific,55-64,Masters,Low,Beginner,High,Medium,Neutral,False,10.0,True,Checked Official Source,18.4,85.31,True,Moderate Trust,True,15-30m
Gemini,legal_advice,58.67,212,False,False,False,Moderate,45-54,Masters,High,First Time,Low,Low,True,False,8.6,False,,0.0,73.37,True,Blind Trust,True,
GPT-4,factual_historical,72.13,287,True,True,True,Moderate,35-44,High School,Expert,Beginner,Low,High,Neutral,False,9.6,False,,0.0,61.54,False,Blind Trust,False,
ChatGPT-3.5,creative_writing,73.07,573,False,False,True,Specific,65+,Professional,Medium,First Time,Low,Low,Neutral,False,9.0,True,Checked Official Source,30.0,79.33,True,Moderate Trust,True,15-30m
Claude,recipe_cooking,77.31,415,True,False,False,Very Specific,45-54,High School,Medium,First Time,High,Low,Neutral,False,9.8,True,Consulted Documentation,35.5,87.74,True,Moderate Trust,True,30-45m
Llama,creative_writing,65.88,91,False,True,True,Very Specific,25-34,PhD,Medium,Advanced,High,Medium,True,True,7.9,True,Personal Testing,18.8,68.21,True,Skeptical,False,15-30m
Llama,legal_advice,53.13,275,False,False,True,Moderate,18-24,Masters,Low,Intermediate,Low,Medium,True,False,7.9,True,Asked Colleague,14.8,66.22,True,Skeptical,False,5-15m
GPT-4,medical_advice,71.23,197,True,True,False,Vague,45-54,High School,Low,Beginner,High,Low,True,True,10.0,True,Google Search,44.4,70.76,False,Moderate Trust,True,30-45m
Llama,legal_advice,69.92,246,True,False,False,Very Specific,25-34,Bachelors,High,Beginner,Low,Low,True,False,10.0,False,,0.0,58.55,False,Blind Trust,False,
Claude,math_calculation,96.82,539,False,True,True,Moderate,35-44,Bachelors,Medium,Advanced,Low,Medium,Neutral,True,10.0,False,,0.0,89.24,True,Blind Trust,True,
Llama,medical_advice,58.9,125,False,False,True,Moderate,65+,High School,Expert,Expert,Medium,Medium,False,True,5.0,True,Asked Expert,24.1,68.05,True,Skeptical,False,15-30m
Gemini,financial_advice,44.99,405,False,True,True,Vague,65+,High School,Expert,Expert,Critical,Low,False,True,1.8,True,Google Search,32.7,42.14,False,Highly Skeptical,False,30-45m
GPT-4,factual_historical,81.25,446,True,True,True,Very Specific,45-54,Professional,High,First Time,High,Low,True,True,10.0,True,Google Search,28.5,76.94,False,Moderate Trust,True,15-30m
